User_ID,Age,Gender,Job_Type,Annual_Income,Marital_Status,Number_of_Dependents,Rent,EMI,Grocery,Food_Outside,Travel,Entertainment,Healthcare,Subscriptions,Education,Savings,Financial_Goal,Target_Monthly_Expense
1,56,Female,Salaried,636583.0,Single,3,19331.0,5812,4828.0,1806,1311,1329,1079,661,3023,16994.0,None,39180
2,46,Other,Self-Employed,229254.0,Single,0,4187.0,11075,8241.0,1288,2354,1388,0,863,2199,13979.0,Buy House,31128
3,32,Female,Salaried,692431.0,Married,2,9531.0,10712,4679.0,2583,2603,1463,1438,597,3402,14410.0,Education,37008
4,60,Male,Student,578161.0,Married,4,8478.0,6601,3025.0,1459,2284,888,0,542,0,14737.0,Save for Trip,22338
5,25,Female,Unemployed,826928.0,Single,3,4814.0,12549,6144.0,1737,874,802,1703,1184,3298,12616.0,Buy House,33105
6,38,Male,Salaried,465617.0,Single,2,13656.0,10292,5692.0,0,2180,1339,1770,736,2416,8595.0,Education,37812
7,56,Male,Salaried,559336.0,Single,2,20535.0,8469,3344.0,2375,2714,407,2719,995,3132,0.0,Save for Trip,44690
8,36,Female,Salaried,824441.0,Single,4,2930.0,11633,4405.0,1897,2226,1768,2618,625,1426,4734.0,Emergency Fund,29528
9,40,Female,Self-Employed,876627.0,Married,1,539.0,13676,5254.0,1061,89,246,1460,752,3796,456.0,Education,26873
10,28,Female,Salaried,463970.0,Married,3,7626.0,9760,4153.0,1762,532,173,2272,862,3436,11973.0,Education,30576
11,28,Male,Salaried,636356.0,Married,4,10824.0,9092,6376.0,1534,2059,721,2403,802,1717,14783.0,Education,35528
12,41,Female,Salaried,658884.0,Single,1,15834.0,318,3833.0,454,2663,1388,1599,870,1144,11232.0,Save for Trip,28103
13,53,Male,Self-Employed,674731.0,Married,4,9600.0,9049,4623.0,3624,522,1710,1174,1441,2242,3494.0,None,33985
14,57,Other,Salaried,547485.0,Single,4,2783.0,9860,4368.0,3416,1495,1321,2739,1086,500,7678.0,None,27568
15,41,Other,Salaried,856277.0,Married,2,18416.0,9258,5676.0,2714,1544,573,1641,969,1537,12399.0,Emergency Fund,42328
16,20,Female,Self-Employed,222059.0,Single,4,7427.0,4396,5949.0,3249,493,890,0,1133,3735,5828.0,Buy House,27228
17,39,Female,Self-Employed,,Single,1,15153.0,5253,5674.0,1502,1783,688,1787,673,906,10469.0,Emergency Fund,33419
18,19,Female,Student,689586.0,Single,2,6309.0,10890,2230.0,1991,1894,1743,897,1294,464,11295.0,Buy House,27712
19,41,Female,Salaried,691445.0,Single,1,11083.0,6448,5245.0,1465,1670,1147,3393,354,4221,12455.0,Buy House,35026
20,61,Male,Freelancer,870552.0,Married,1,13779.0,8710,5716.0,2252,2497,1974,792,959,2608,4240.0,Emergency Fund,39287
21,47,Male,Self-Employed,839645.0,Married,2,7719.0,0,5888.0,2954,1460,1538,1171,1209,2540,17101.0,Emergency Fund,24069
22,55,Female,Salaried,542892.0,Single,1,14124.0,7937,4734.0,1925,2208,810,2293,374,2232,12004.0,Education,36637
23,19,Female,Self-Employed,859974.0,Married,0,10207.0,11225,5035.0,711,1929,910,3867,827,776,8538.0,Save for Trip,35487
24,38,Male,Salaried,457192.0,Single,4,9717.0,9208,4147.0,2415,2162,1057,1380,642,4345,9769.0,None,35073
25,50,Female,Student,786177.0,Single,2,19543.0,7443,6917.0,1395,1032,959,721,401,1541,19126.0,Buy House,39952
26,29,Male,Salaried,962104.0,Married,2,13775.0,3802,2988.0,2933,2037,1534,739,865,0,7145.0,Buy House,27553
27,39,Female,Self-Employed,842989.0,Married,0,14443.0,830,5677.0,3875,2664,1296,154,698,1316,6689.0,Education,30953
28,61,Female,Salaried,621154.0,Single,0,15683.0,4874,3507.0,3066,2438,617,1645,1135,4187,10371.0,None,37152
29,42,Female,Unemployed,533644.0,Single,0,14879.0,12160,4281.0,1784,2730,2432,1789,782,1827,2861.0,Save for Trip,42664
30,44,Female,Salaried,294282.0,Single,0,13784.0,7783,4941.0,2115,1693,1146,389,480,3980,19622.0,Education,36311
31,59,Male,Unemployed,662108.0,Married,3,18202.0,10763,2021.0,1904,3103,323,1254,754,2251,4409.0,Save for Trip,40575
32,45,Male,Student,376957.0,Married,2,7313.0,13738,2910.0,1102,1216,1434,1223,655,1154,13374.0,Buy House,30745
33,33,Female,Salaried,,Single,1,12741.0,8497,2598.0,1470,1250,261,938,1239,962,10812.0,None,29956
34,32,Female,Freelancer,361851.0,Married,2,10451.0,11382,,1848,3255,1221,1998,911,3584,9730.0,Buy House,40289
35,64,Male,Unemployed,,Single,2,12705.0,12541,6535.0,1777,1967,962,1044,802,2930,12420.0,Education,41263
36,61,Female,Salaried,594406.0,Single,2,8508.0,2403,2606.0,776,2413,1044,2683,1388,156,6749.0,Save for Trip,21977
37,20,Male,Salaried,654723.0,Married,0,3887.0,4953,4733.0,2045,0,411,140,892,3081,13241.0,Save for Trip,19929
38,54,Female,Self-Employed,479899.0,Single,0,16001.0,1264,5412.0,1941,1865,916,1384,673,1608,5519.0,Buy House,31064
39,24,Female,Salaried,813857.0,Single,3,24064.0,722,5405.0,0,1779,928,0,704,1661,5752.0,Education,34938
40,38,Male,Salaried,558359.0,Married,2,17381.0,6005,8013.0,1876,2080,992,1957,961,4333,4000.0,None,43598
41,26,Male,Salaried,442456.0,Single,4,16336.0,6978,5230.0,0,2057,2297,1300,576,5011,8468.0,Emergency Fund,39436
42,56,Female,Salaried,645258.0,Single,3,13275.0,511,3608.0,982,1164,610,1319,1723,881,10464.0,Education,24073
43,35,Female,Salaried,992711.0,Married,0,11226.0,9818,6123.0,817,3951,1153,1048,890,0,12966.0,None,33799
44,21,Female,Salaried,667032.0,Married,2,11522.0,6054,7387.0,1768,715,83,2369,849,2250,7896.0,None,32997
45,42,Female,Student,527429.0,Married,0,11459.0,13740,3047.0,1318,1265,0,2353,254,3585,11074.0,Save for Trip,36572
46,31,Female,Freelancer,294508.0,Single,1,8761.0,8735,5801.0,1663,2440,775,1807,118,1642,9556.0,Emergency Fund,31742
47,26,Other,Salaried,556118.0,Single,0,3726.0,8706,5043.0,3898,495,1992,1160,612,1083,12203.0,Emergency Fund,26715
48,43,Female,Self-Employed,,Married,0,12994.0,7181,3571.0,1033,1453,119,1655,639,483,6451.0,Emergency Fund,29128
49,19,Female,Self-Employed,522484.0,Single,3,10607.0,7523,4042.0,3100,2286,1504,1725,587,2086,12435.0,Buy House,33460
50,37,Male,Unemployed,266923.0,Single,1,17696.0,9481,7387.0,2599,1046,1830,1315,751,0,6891.0,Save for Trip,41975
51,45,Male,Salaried,429887.0,Single,4,15697.0,11623,6159.0,2382,833,2001,3433,209,1502,12119.0,Education,43839
52,64,Female,Salaried,890908.0,Single,4,1842.0,2669,5638.0,3232,1947,1468,935,984,1487,8340.0,Buy House,20202
53,24,Male,Student,886800.0,Single,4,20569.0,4651,2762.0,1545,1678,441,1490,785,2772,14470.0,Buy House,36693
54,61,Female,Student,422672.0,Married,2,9420.0,9175,6011.0,1851,894,147,1143,937,3271,11457.0,Emergency Fund,32849
55,25,Female,Freelancer,734551.0,Married,4,10195.0,7845,6674.0,1153,1660,0,2941,882,1342,15899.0,Emergency Fund,32372
56,64,Female,Freelancer,364285.0,Single,2,3614.0,11168,2951.0,0,1497,2308,965,564,192,12464.0,None,22875
57,52,Male,Salaried,880863.0,Married,0,,5310,5033.0,2104,2502,1608,2251,913,59,9543.0,None,33113
58,31,Male,Self-Employed,649047.0,Married,4,14056.0,13056,6512.0,3721,552,1449,805,1207,3388,15439.0,Save for Trip,44746
59,34,Male,Salaried,789928.0,Married,3,20570.0,5931,6310.0,616,681,0,1594,581,4220,,Save for Trip,39836
60,53,Male,Salaried,256981.0,Single,1,16255.0,6731,5960.0,716,1270,1440,3154,1101,164,9906.0,Education,36791
61,57,Male,Freelancer,735527.0,Single,1,9482.0,12379,5067.0,2300,1245,1140,319,1187,4821,9663.0,Buy House,37940
62,21,Female,Salaried,598465.0,Single,0,3136.0,10285,6628.0,1774,2463,1231,758,837,4814,11490.0,Emergency Fund,31926
63,19,Female,Salaried,770386.0,Single,1,9119.0,15928,,3502,1665,707,3441,754,743,,Emergency Fund,41101
64,23,Female,Student,782974.0,Single,1,17220.0,11795,5829.0,1489,2167,1115,2387,719,1765,14158.0,Save for Trip,44486
65,59,Female,Salaried,613157.0,Single,0,10013.0,13160,5515.0,3532,2944,267,0,833,3106,17419.0,None,39345
66,21,Male,Unemployed,479834.0,Single,0,,6812,3405.0,2445,700,1054,1059,1502,1935,9754.0,Education,25442
67,46,Female,Unemployed,755939.0,Single,0,12846.0,13214,3618.0,3130,2954,108,1211,608,1435,8102.0,Buy House,39124
68,35,Female,Self-Employed,587969.0,Single,3,10327.0,8276,2822.0,1197,1534,1715,2078,961,3647,12179.0,Save for Trip,32557
69,43,Male,Salaried,425443.0,Single,0,9718.0,0,4426.0,1778,0,1593,2027,908,3098,5575.0,None,21872
70,61,Female,Salaried,415970.0,Married,0,8258.0,9897,6218.0,2163,1741,1508,1724,1116,669,7525.0,None,33294
71,51,Male,Salaried,304567.0,Single,0,12545.0,10241,5508.0,2353,121,0,464,788,2838,7969.0,Buy House,34802
72,27,Female,Salaried,497942.0,Married,4,17128.0,3633,,1271,184,1062,2635,903,2484,7530.0,Buy House,34251
73,53,Other,Salaried,820538.0,Married,4,14571.0,9439,7038.0,1497,510,1507,2128,565,1780,8781.0,Save for Trip,39035
74,31,Male,Unemployed,635566.0,Married,3,2363.0,8462,4545.0,3541,1431,1535,1140,629,1330,13630.0,Buy House,24976
75,48,Female,Salaried,494046.0,Married,3,19755.0,12852,5838.0,2902,254,2242,3557,780,556,8465.0,Emergency Fund,48736
